Eviction ID,File Date,Neighborhoods - Analysis Boundaries
20,2024,Outer Richmond
18,2018,Chinatown
34,2013,Western Addition
4,2024,North Beach
46,2019,Haight Ashbury
55,1998,Potrero Hill
79,2006,Sunset/Parkside
3,2022,Twin Peaks
15,2008,Chinatown
42,2014,Inner Sunset
275,2000,Mission
8,2004,Glen Park
90,2001,Inner Sunset
67,2008,South of Market
21,1999,Visitacion Valley
28,2008,Lone Mountain/USF
1,1999,Lincoln Park
20,2013,Chinatown
153,1998,Outer Richmond
86,1999,Russian Hill
9,2006,Glen Park
83,2015,Lakeshore
1,2008,Mission Bay
3,2015,
29,2004,West of Twin Peaks
6,2023,Noe Valley
12,2011,Visitacion Valley
70,2006,Noe Valley
100,2022,South of Market
129,1999,Outer Richmond
23,2010,Lone Mountain/USF
17,2012,Chinatown
13,2007,West of Twin Peaks
13,2010,Presidio Heights
29,2017,Chinatown
87,2013,Outer Richmond
4,2011,Seacliff
14,2007,Portola
14,2001,Twin Peaks
100,2007,Sunset/Parkside
25,2008,Noe Valley
14,2022,Outer Mission
53,2021,Sunset/Parkside
57,2002,Excelsior
11,2012,Presidio Heights
51,2015,North Beach
76,2015,Castro/Upper Market
28,2019,North Beach
47,2017,South of Market
12,2009,Lone Mountain/USF
3,2006,Japantown
35,2011,Pacific Heights
6,2018,Glen Park
40,2005,Inner Sunset
87,1999,Bayview Hunters Point
35,2004,Inner Sunset
89,2000,Bayview Hunters Point
19,2000,Financial District/South Beach
116,2006,Castro/Upper Market
62,2012,Marina
159,2008,Mission
21,2003,Outer Mission
9,2006,Twin Peaks
12,2024,Western Addition
23,2008,Twin Peaks
34,2011,Chinatown
209,1998,Sunset/Parkside
239,2013,Mission
29,2015,Visitacion Valley
48,2001,West of Twin Peaks
52,2013,West of Twin Peaks
77,1997,Lakeshore
69,2012,Nob Hill
4,1999,
3,2010,
163,2000,Outer Richmond
120,2001,Castro/Upper Market
53,2003,Hayes Valley
75,1997,Russian Hill
72,2012,Outer Richmond
23,2017,Visitacion Valley
10,2018,Twin Peaks
56,2008,Excelsior
38,2009,Pacific Heights
31,2024,South of Market
186,2002,Mission
4,2024,Pacific Heights
9,2009,Lakeshore
42,2015,Lone Mountain/USF
11,2013,Portola
4,2005,Treasure Island
2,2017,Japantown
82,1999,Inner Sunset
42,2023,Bayview Hunters Point
10,2020,Inner Sunset
59,2002,Inner Sunset
65,2007,Outer Richmond
4,2000,
13,1997,
62,2016,North Beach
22,2010,Visitacion Valley
24,2007,Lone Mountain/USF
49,2018,Marina
114,2023,Tenderloin
26,2017,North Beach
198,2016,Mission
7,2004,Lakeshore
79,2000,Russian Hill
24,2009,Outer Mission
187,2018,Lakeshore
2,2014,Lincoln Park
13,2011,Portola
6,2019,Glen Park
121,2012,Sunset/Parkside
20,2022,Haight Ashbury
163,2007,Tenderloin
70,1999,Lakeshore
29,2008,Russian Hill
68,1998,West of Twin Peaks
4,2011,Japantown
70,2007,Nob Hill
5,2002,
78,1998,Excelsior
1,2024,Japantown
29,2005,Russian Hill
15,2012,Twin Peaks
49,2007,Inner Richmond
235,2004,Mission
22,2020,Castro/Upper Market
32,2005,Excelsior
21,2005,Western Addition
27,2022,Bernal Heights
94,2019,Tenderloin
47,2015,Oceanview/Merced/Ingleside
98,2013,Lakeshore
219,2005,Mission
4,2017,
65,2017,Tenderloin
18,2021,Oceanview/Merced/Ingleside
86,2017,Outer Richmond
7,1998,Japantown
11,2018,Presidio Heights
11,2020,Potrero Hill
53,2010,Outer Richmond
106,1997,Lone Mountain/USF
2,2024,Presidio Heights
47,2007,Haight Ashbury
72,2008,Sunset/Parkside
89,2015,Excelsior
52,2003,North Beach
42,2018,Pacific Heights
4,2002,Lakeshore
2,2012,
42,2005,Noe Valley
7,2022,Lakeshore
16,2006,Portola
38,2011,Castro/Upper Market
35,2011,Russian Hill
2,2009,McLaren Park
68,2015,Marina
21,2006,Outer Mission
41,1998,Glen Park
46,2012,Pacific Heights
3,2012,Japantown
111,1998,Inner Sunset
33,2018,Castro/Upper Market
4,2020,Mission Bay
25,2017,Portola
69,2007,Inner Sunset
64,2001,Pacific Heights
15,2022,North Beach
29,1997,Twin Peaks
85,1997,Pacific Heights
67,2015,Russian Hill
31,2019,Outer Mission
103,2014,Castro/Upper Market
62,2000,Outer Mission
1,2009,Presidio
35,2010,Bernal Heights
127,2023,Financial District/South Beach
10,2005,Financial District/South Beach
23,2010,Pacific Heights
42,2003,Inner Richmond
2,2007,Lincoln Park
6,2010,Portola
1,1998,Mission Bay
10,2005,Chinatown
30,2004,South of Market
68,2002,Pacific Heights
35,2019,Bayview Hunters Point
3,2002,Seacliff
1,2013,Lincoln Park
206,2014,Mission
19,2004,Potrero Hill
49,2012,Bayview Hunters Point
46,2003,Oceanview/Merced/Ingleside
14,2003,Russian Hill
174,2012,Mission
1,2022,Presidio Heights
185,2005,Tenderloin
126,2016,Sunset/Parkside
37,2014,Lone Mountain/USF
65,1999,Lone Mountain/USF
20,2010,Excelsior
39,2017,Noe Valley
8,2023,Portola
50,2018,Excelsior
46,2007,Russian Hill
78,2003,Sunset/Parkside
164,2022,Mission
2,2015,Seacliff
44,2009,Castro/Upper Market
23,2005,Twin Peaks
6,2024,Oceanview/Merced/Ingleside
2,2007,Treasure Island
1,1998,Lincoln Park
19,2019,Visitacion Valley
4,2001,Presidio
362,1998,Mission
95,2001,Hayes Valley
21,2017,Western Addition
20,2004,Chinatown
67,2020,Tenderloin
32,2020,Outer Richmond
45,2000,Potrero Hill
21,2019,Inner Richmond
53,2007,Excelsior
35,2006,South of Market
24,2021,Lone Mountain/USF
45,2009,Bayview Hunters Point
6,2008,Financial District/South Beach
7,2023,Western Addition
11,2023,Russian Hill
123,2014,Outer Richmond
41,2001,Outer Mission
306,1997,Mission
7,1997,Japantown
90,2019,Sunset/Parkside
10,2023,Potrero Hill
11,2007,Lakeshore
24,2018,Western Addition
57,2001,Nob Hill
81,2000,Inner Sunset
41,2022,Bayview Hunters Point
26,2006,Lone Mountain/USF
73,1998,Inner Richmond
17,2006,Lakeshore
62,2002,Inner Richmond
11,2013,Glen Park
23,2020,Financial District/South Beach
25,2006,Oceanview/Merced/Ingleside
2,2000,Seacliff
124,2006,Tenderloin
6,2024,Outer Mission
19,2011,Inner Richmond
10,2017,Twin Peaks
23,2005,Outer Mission
34,2002,Lone Mountain/USF
81,1999,Bernal Heights
6,2021,Visitacion Valley
23,2010,Chinatown
16,1997,Glen Park
2,2011,
90,1998,Bernal Heights
79,2001,Tenderloin
13,2023,Chinatown
20,2021,Russian Hill
1,2020,Seacliff
3,2020,Portola
35,2018,Bernal Heights
60,1999,Potrero Hill
31,2010,Noe Valley
43,2021,Outer Richmond
36,2017,Oceanview/Merced/Ingleside
22,2018,Lone Mountain/USF
133,2021,Mission
130,2014,Sunset/Parkside
71,1999,Pacific Heights
21,2009,Western Addition
17,2010,Inner Richmond
31,2002,Oceanview/Merced/Ingleside
17,2003,Twin Peaks
15,2013,Twin Peaks
45,2001,Visitacion Valley
1,2004,Japantown
146,2017,Mission
317,2019,Lakeshore
66,2017,Excelsior
4,2015,Japantown
75,2015,Bernal Heights
30,2011,Outer Mission
19,2005,Potrero Hill
4,2024,Inner Richmond
109,1997,Bernal Heights
31,2011,Haight Ashbury
23,2005,Lone Mountain/USF
1,2003,Lincoln Park
36,2011,Bayview Hunters Point
40,2008,Marina
5,2000,Japantown
45,2014,Oceanview/Merced/Ingleside
31,2006,Bayview Hunters Point
39,2011,South of Market
53,2009,Haight Ashbury
12,2021,Lakeshore
42,2013,Haight Ashbury
42,2009,South of Market
87,2002,Tenderloin
2,2001,
58,2003,Outer Richmond
22,2007,Twin Peaks
12,2016,Glen Park
46,2007,Noe Valley
9,2016,Presidio Heights
74,2000,Excelsior
44,1998,South of Market
14,2004,Twin Peaks
8,2003,Portola
8,2015,Financial District/South Beach
60,2012,Russian Hill
20,2022,Hayes Valley
45,2021,Bayview Hunters Point
50,2008,Inner Sunset
61,2014,Marina
79,2014,Pacific Heights
20,2019,Portola
1,2017,Seacliff
1,2010,Japantown
76,1997,Inner Sunset
10,2003,Chinatown
35,2004,Inner Richmond
3,2009,Japantown
7,2009,Twin Peaks
38,1997,Oceanview/Merced/Ingleside
16,2023,Marina
12,2004,Outer Mission
8,2006,Potrero Hill
8,2024,Bernal Heights
1,2013,Golden Gate Park
13,2022,Castro/Upper Market
13,2017,Potrero Hill
163,2015,Sunset/Parkside
41,2010,Haight Ashbury
66,2016,Bernal Heights
42,2014,Haight Ashbury
8,2024,Inner Sunset
66,2001,Bernal Heights
100,2005,Castro/Upper Market
3,1997,Seacliff
46,1997,North Beach
4,2003,
115,2010,Mission
17,2022,Inner Richmond
75,2004,Marina
46,1999,West of Twin Peaks
160,2016,Tenderloin
2,2020,
10,2020,Bernal Heights
16,2020,Excelsior
10,2003,Glen Park
52,2001,North Beach
16,2008,Outer Mission
64,2018,Outer Richmond
26,1998,Western Addition
58,2011,Tenderloin
69,1998,Portola
21,2024,Hayes Valley
17,2019,Noe Valley
41,2006,Inner Richmond
34,2001,Portola
27,2024,Mission
81,2005,Outer Richmond
80,1999,Marina
36,2006,West of Twin Peaks
67,2013,Marina
3,2003,Lakeshore
10,2006,Financial District/South Beach
